taxa	trait1
Photobacterium_angustum-_-D25307--_ATCC_25915_T	26
Photobacterium_phosphoreum-_-D25310--_ATCC_11040_T	25
Photobacterium_aphoticum-_-FN796493--_CECT_7614_T	25
Photobacterium_gaetbulicola-_-GQ260188--_Gung47_T	28
Enterovibrio_calviensis-_-AF118021--_RE35F/12_T	26
Oceanimonas_smirnovii-_-AY538714--_31-13_T	23
Shewanella_algae-_-AF005249--_ATCC_51192_T	10
Shewanella_marina-_-EU290154--_C4_T	4
Shewanella_amazonensis-_-CP000507--_SB2B_T	37
Shewanella_aquimarina-_-AY485225--_SW-120_T	22
Shewanella_pealeana-_-CP000851--_ATCC_700345_T	25
Shewanella_halifaxensis-_-CP000931--_HAW-EB4_T	10
Shewanella_gelidimarina-_-U85907--_ACAM456_T	2
Shewanella_violacea-_-D21225--_DSS12_T	4
Shewanella_benthica-_-X82131--_ATCC_43992_T	4
Shewanella_piezotolerans-_-AJ551090--_WP3_T	15
Shewanella_sediminis-_-CP000821--_HAW-EB3_T	10
Shewanella_woodyi-_-CP000961--_ATCC_51908_T	25
Shewanella_oneidensis-_-AE014299--_MR-1_T	30
Shewanella_putrefaciens-_-X81623--_LMG_26268_T_T	37
Shewanella_baltica-_-AJ000214--_NCTC_10735_T	30
Shewanella_decolorationis-_-AB681977--_NBRC_103170_T	33.5
Shewanella_olleyana-_-AF295592--_ACEM_9_T	4
Shewanella_denitrificans-_-CP000302--_OS217_T	20
Ferrimonas_balearica-_-X93021--_PAT_T	28
Colwellia_psychrotropica-_-U85846--_ACAM_179T_T	10
Colwellia_rossensis-_-U14581--_ACAM_608_T	10
Colwellia_piezophila-_-AB094412--_Y223G_T	10
Colwellia_psychrerythraea-_-AF001375--_ATCC27364-_ACAM_550T_T	10
Colwellia_demingiae-_-U85845--_ACAM_459T_T	10
Colwellia_hornerae-_-JN175346--_CIP_105821_T	10
Pseudidiomarina_sediminum-_-EF212001--_c121_T	28
Idiomarina_loihiensis-_-AE017340--_L2TR_T	4
Idiomarina_baltica-_-AJ440214--_OS145_T	28
Agarivorans_albus-_-AB076561--_MKT106_T	37
Pseudoalteromonas_translucida-_-AY040230--_KMM520_T	28
Pseudoalteromonas_marina-_-AY563031--_mano4_T	20.5
Pseudoalteromonas_haloplanktis-_-X67024--_ATCC_14393_T	22
Pseudoalteromonas_agarivorans-_-AJ417594--_KMM_255_T	25
Pseudoalteromonas_tetraodonis-_-AF214729--_KMM_458_T	20
Pseudoalteromonas_atlantica-_-AB681913--_NBRC_103033_T	26
Pseudoalteromonas_undina-_-X82140--_NCIMB_2128T_T	30
Pseudoalteromonas_lipolytica-_-FJ404721--_LMEB_39_T	28
Pseudoalteromonas_citrea-_-X82137--_NCIMB_1889T_T	26
Pseudoalteromonas_piscicida-_-AB681918--_NBRC_103038_T	28
Pseudoalteromonas_flavipulchra-_-AF297958--_NCIMB2033-_KMM_3630-_LMG_20361_T	28
Pseudoalteromonas_rubra-_-X82147--_ATCC_29570T_T	25
Pseudoalteromonas_luteoviolacea-_-X82144--_NCIMB_1893T_T	26
Pseudoalteromonas_spongiae-_-AY769918--_UST010723-006_T	28
Pseudoalteromonas_tunicata-_-CP031961--_D2_n_T	28
Psychromonas_ingrahamii-_-CP000510--_37_T	10
Psychromonas_ossibalaenae-_-AB304808--_JAMM_0738_T	20
Psychromonas_hadalis-_-AB094413--_K41G_T	6
Moritella_dasanensis-_-EF192283--_ArB_0140_T	10
Moritella_marina-_-AB038033--_ATCC15381T_T	15
Rheinheimera_baltica-_-AUDG01000123--_DSM_14885_T	25
Rheinheimera_nanhaiensis-_-FJ169968--_E407-8_T	37
Alishewanella_aestuarii-_-ALAB01000035--_B11_T	28
Alishewanella_jeotgali-_-EU817498--_MS1_T	28
Alishewanella_agri-_-AKKU01000023--_BL06_T	28
Algicola_sagamiensis-_-AB063324--_B-10-31_T	27
Alteromonas_macleodii-_-Y18228--_DSM_6062_T	30
Alteromonas_fortis-_-MK007076--_ATCC_43554_T	30
Alteromonas_chungwhensis-_-AY553295--_BH030046_T	37
Aliiglaciecola_lipolytica-_-EU183316--_E3_T	4
Paraglaciecola_agarilytica-_-DQ784575--_NO2_T	25
Paraglaciecola_polaris-_-BAER01000081--_LMG_21857_T	20
Paraglaciecola_mesophila-_-AJ488501--_KMM_241_T	25
Paraglaciecola_arctica-_-EU365479--_BSs20135_T	25
Glaciecola_punicea-_-U85853--_ACAM_611T_T	10
Glaciecola_pallidula-_-U85854--_ACAM_615T_T	2
Halomonas_stevensii-_-AM941388--_S18214_T	28
Halomonas_titanicae-_-AOPO01000038--_BH1_T	37
Halomonas_boliviensis-_-AGQZ01000062--_LC1_T	28
Halomonas_zhanjiangensis-_-FJ429198--_JSM_078169_T	28
Halomonas_sulfidaeris-_-AF212204--_Esulfide1-_ATCC_BAA-803-_CECT_5817-_DSM_15722-_CCM_7108_T	28
Halomonas_elongata-_-FN869568--_DSM_2581_T	30
Halomonas_smyrnensis-_-DQ131909--_AAD6_T	37
Halomonas_halodenitrificans-_-AB680702--_NBRC_14912_T	25
Chromohalobacter_salexigens-_-CP000285--_DSM_3043_T	37
Halomonas_zincidurans-_-JQ781698--_B6_T	4
Halomonas_anticariensis-_-AUAB01000061--_DSM_16096_T	30
Halomonas_lutea-_-EF674852--_YIM_91125_T	37
Marinospirillum_celere-_-EU375807--_v1c_Sn-red_T	35
Marinomonas_mediterranea-_-AF063027--_MMB1-_CECT_4803-_ATCC_700492_T	25
Thalassolituus_oleivorans-_-HF680312--_MIL-1_T	25
Spongiispira_norvegica-_-AM117931--_Gp_4_7.1_LTP__T	28
Bermanella_marisrubri-_-AY136131--_RED65_T	28
Oleispira_antarctica-_-AJ426420--_RB-8_T	15
Amphritea_japonica-_-AB330881--_JAMM_1866_T	4
Neptunomonas_japonica-_-AB288092--_JAMM_0745_T	20
Neptuniibacter_caesariensis-_-AY136116--_MED92_T	26
Marinobacterium_rhizophilum-_-EF192391--_CL-YJ9_T	25
Marinobacterium_stanieri-_-AB021367--_ATCC_27130_T	26
Gynuella_sunshinyii-_-KC213486--_YC6258_T	25
Pseudomonas_cremoris-_-JAAXCY010000000--_WS_5106_T	28
Pseudomonas_poae-_-AJ492829--_DSM_14936_=_LMG_21465_T	26
Pseudomonas_fluorescens-_-D84013--_IAM_12022_T	25
Pseudomonas_extremaustralis-_-AJ583501--_CT14-3_T	30
Pseudomonas_mediterranea-_-AF386080--_CFBP_5447_T	30
Pseudomonas_brassicacearum_subsp._brassicacearum-_-AF100321--_DBK11-_CFBP_11706_T	26
Pseudomonas_brassicacearum-_-AJ293858--_CFBP_11706_T	26
Pseudomonas_viridiflava-_-Z76671--_LMG_2352T__T	26
Pseudomonas_fragi-_-AF094733--_ATCC_4973_T	4
Pseudomonas_psychrophila-_-AB041885--_E-3_T	25
Pseudomonas_savastanoi-_-AB021402--_ATCC_13522_T	26
Pseudomonas_avellanae-_-AKBS01001374--_BPIC_631_T	25
Pseudomonas_protegens-_-AJ278812--_CHA0_T	36
Pseudomonas_agarici-_-AKBQ01000002--_NCPPB_2289_T	30
Pseudomonas_japonica-_-AB126621--_IAM_15071_T	28
Pseudomonas_putida-_-D84020--_IAM_1236_T	26
Pseudomonas_entomophila-_-AY907566--_L48_T	28
Pseudomonas_plecoglossicida-_-AB009457--_FPC951_T	30
Pseudomonas_taiwanensis-_-EU103629--_BCRC_17751_T	28
Pseudomonas_parafulva-_-AB060132--_AJ_2129_T	28
Pseudomonas_cremoricolorata-_-AB060137--_IAM_1541_T	30
Pseudomonas_taeanensis-_-FJ424813--_MS-3_T	28
Pseudomonas_nosocomialis-_-LT601028--_A31_T	37
Pseudomonas_balearica-_-CP007511--_DSM6083_-=SP1402-_wT	30
Pseudomonas_aeruginosa-_-HE978271--_DSM_50071_T	37
Pseudomonas_resinovorans-_-AB021373--_ATCC_14235_T	30
Pseudomonas_alcaligenes-_-D84006--_IAM12411_T	37
Pseudomonas_knackmussii-_-AF039489--_B13_T	30
Pseudomonas_mendocina-_-D84016--_NCIB_10541_T	37
Pseudomonas_stutzeri-_-CP002881--_CGMCC_1.1803_T	37
Halopseudomonas_pelagia-_-AROI01000066--_CL-AP6_T	25
Marinobacter_algicola-_-AY258110--_DG893_T	28
Marinobacter_salsuginis-_-EF028328--_SD-14B_T	28
Marinobacter_adhaerens-_-AY241552--_HP15_T	37
Marinobacter_lipolyticus-_-AY147906--_SM-19_T	37
Marinobacter_nauticus-_-FO203363--_ATCC_49840_T	30
Marinobacter_santoriniensis-_-APAT01000001--_NKSG1_T	37
Zooshikella_ganghwensis-_-AUAF01000218--_DSM_15267_T	30
Hahella_chejuensis-_-CP000155--_KCTC_2396_T	20
Hahella_ganghwensis-_-AQXX01000025--_DSM_17046_T	28
Oleiphilus_messinensis-_-AJ295154--_ME102_LTP__T	28
Endozoicomonas_elysicola-_-JOJP01000001--_DSM_22380_T	26
Teredinibacter_turnerae-_-ARAH01000054--_T7902_T	28
Gilvimarinus_chinensis-_-ARIX01000015--_DSM_19667_T	28
Simiduia_agarivorans-_-EF617350--_SA1_T	28
Saccharophagus_degradans-_-CP000282--_2-40_T	4
Congregibacter_litoralis-_-AAOA02000002--_KT71_T	28
Pseudohaliea_rubra-_-EU161717--_CM41_15a_T	28
Haliea_salexigens-_-AUHJ01000047--_DSM_19537_T	28
Spongiibacter_marinus-_-HQ658853--_DSM_19753_T	28
Spongiibacter_tropicus-_-ATUS01000006--_DSM_19543_T	28
Dasania_marina-_-AY771747--_KOPRI_20902_T	20
Microbulbifer_variabilis-_-AB167354--_Ni-2088_T	30
Microbulbifer_gwangyangensis-_-JF751045--_GY2_T	28
Microbulbifer_agarilyticus-_-AB158515--_JAMB_A3_T	33
Alcanivorax_balearicus-_-AY686709--_MACL04_T	28
Alcanivorax_profundimaris-_-MT452298--_ST75FaO-1_T	28
Alcanivorax_borkumensis-_-Y12579--_Sk2_T	28
Alcanivorax_jadensis-_-AJ001150--_T9_T	25
Alcanivorax_hongdengensis-_-EU438901--_A-11-3_T	10
Legionella_shakespearei-_-Z49736--_NCTC_12829_LTP__T	30
Legionella_pneumophila-_-M36023--_Philadelphia_1_T	32.5
Legionella_oakridgensis-_-CP004006--_ATCC_33761_=_DSM_21215-_OR-10_n_T	37
Francisella_philomiragia-_-AY928394--_ATCC_25015_T	37
Francisella_hispaniensis-_-FN252413--_FSC454_T	37
Francisella_persica-_-CP012505--_FSC845_T	34
Kangiella_aquimarina-_-ARFE01000004--_DSM_16071_T	30
Kangiella_koreensis-_-AY520560--_SW-125_T	30
Thiocystis_gelatinosa-_-FN293058--_4310_=_DSM_215_T	0
Thiocystis_minor-_-Y12372--_DSM_178_T	0
Allochromatium_warmingii-_-Y12365--_DSM_173_T	0
Allochromatium_vinosum-_-CP001896--_DSM_180_T	25
Marichromatium_purpuratum-_-CP007031--_984_T	25
Thiocapsa_roseopersicina-_-AF113000--_1711_T	0
Thiocapsa_marina-_-AFWV01000002--_5811_T	25
Thermochromatium_tepidum-_-M59150--_MC_T	48
Hydrogenovibrio_kuenenii-_-AF013978--_JB-A1_T	25
Hydrogenovibrio_crunogenus-_-L40810--_ATCC_35932_T	30
Hydrogenovibrio_halophilus-_-ARAR01000001--_DSM_15072_T	30
Thiomicrorhabdus_arctica-_-AJ404731--_SVAL-E_T	15
Thiomicrospira_aerophila-_-AF126548--_AL3_T	41
Granulosicoccus_antarcticus-_-EF495228--_IMCC3135_T	20
Sedimenticola_selenatireducens-_-ATZE01000023--_DSM_17993_T	25
Thiothrix_winogradskyi-_-AF148516--_CT3_/type_materialtype_strain_of_Thiothrix_winogradskyiT	25
Thiothrix_nivea-_-AJUL01000009--_DSM_5205_T	25
Thiofilum_flexile-_-ARCL01000068--_DSM_14609_T	25
Thiothrix_flexilis-_-AB042545--_EJ2M-B_T	25
Thiolinea_disciformis-_-AQVE01000036--_DSM_14473_T	20
Thiothrix_disciformis-_-AB042532--_B3-1_T	27.5
Leucothrix_mucor-_-ATTE01000001--_DSM_2157_T	25
Methylosarcina_fibrata-_-AF177296--_AML-C10_LTP__T	30
Methylosarcina_quisquiliarum-_-AF177297--_AML-D4_LTP__T	30
Methylomicrobium_agile-_-X72767--_ACM_3308-_ATCC_35068-_ACM_330-_ATCC_35068_T	28
Methylotuvimicrobium_alcaliphilum-_-EF495157--_20Z_T	28
Methylobacter_tundripaludum-_-AEGW02000009--_SV96_T	10
Methylobacter_whittenburyi-_-X72773--_ACM_3310-_NCIMB_11128-_ACM_3306_T	28
Methylobacter_luteus-_-AF304195--_NCIMB_11914_T	28
Methylomonas_koyamae-_-AB538964--_NCIMB_14606_T	10
Methylomonas_aurantiaca-_-X72776--_JB103_-phenon3-_T	28
Methylomonas_fodinarum-_-X72778--_ACM_3268-_JB13_-phenon2-_T	28
Methylomonas_methanica-_-AF304196--_S1-_NCIMB_11130_T	28
Methyloglobulus_morosus-_-JN386974--_KoM1_T	20
Methylovulum_miyakonense-_-AB501287--_HT12_T	5
Methylophaga_aminisulfidivorans-_-DQ463161--_MP_T	20
Methylophaga_lonarensis-_-JF330773--_MPL_T	20
Acinetobacter_brisouii-_-DQ832256--_5YN5-8_T	28
Acinetobacter_ursingii-_-APQA01000026--_CIP_107286_T	30
Acinetobacter_johnsonii-_-APON01000041--_CIP_64.6_T	30
Acinetobacter_bouvetii-_-APQD01000004--_CIP_107468_T	30
Acinetobacter_haemolyticus-_-APQQ01000002--_CIP_64.3_T	28
Acinetobacter_parvus-_-AIEB01000124--_DSM_16617_T	28
Acinetobacter_gyllenbergii-_-AJ293694--_RUH_422_=_NIPH_2150_=_ACI_651_T	30
Acinetobacter_bereziniae-_-APQG01000050--_CIP_70.12_T	30
Acinetobacter_guillouiae-_-APOS01000028--_CIP_63.46_T	30
Acinetobacter_rudis-_-EF204258--_G30_T	30
Acinetobacter_venetianus-_-AJ295007--_ATCC_31012_T	28
Acinetobacter_gerneri-_-APPN01000046--_CIP_107464_T	30
Acinetobacter_baylyi-_-APPT01000006--_CIP_107474_T	30
Acinetobacter_soli-_-EU290155--_B1_T	28
Acinetobacter_schindleri-_-APPQ01000011--_CIP_107287_T	28
Acinetobacter_bohemicus-_-KF679797--_ANC_3994_T	30
Acinetobacter_lwoffii-_-APQS01000019--_CIP_64.10_T	30
Acinetobacter_radioresistens-_-BAGY01000082--_NBRC_102413_T	30
Acinetobacter_towneri-_-APPY01000064--_CIP_107472_T	30
Acinetobacter_indicus-_-JQ608323--_1NM-4_T	28
Acinetobacter_nectaris-_-JQ771132--_SAP_763.2_T	30
Psychrobacter_arcticus-_-AY444822--_273-4_T	22
Psychrobacter_aquaticus-_-AJ584833--_CMS_56_LTP__T	22
Psychrobacter_lutiphocae-_-FM165580--_IMMIB_L-1110_T	37
Moraxella_porci-_-FM872292--_SN9-4M_T	37
Moraxella_catarrhalis-_-AF005185--_ATCC_25238T_T	37
Moraxella_boevrei-_-ARBT01000034--_DSM_14165_T	37
Solimonas_flava-_-EF154515--_CW-KD_4_T	28
Solimonas_variicoloris-_-AJ555478--_MN_28_T	30
Solimonas_soli-_-EF067861--_DCY12_T	28
Polycyclovorans_algicola-_-FJ176554--_TG408_T	28
Nevskia_ramosa-_-ATVI01000001--_DSM_11499_T	28
Nevskia_soli-_-EF178286--_GR15-1_T	28
Hydrocarboniphaga_effusa-_-AY363245--_AP103-_ATCC_BAA-332_T	30
Rickettsiella_massiliensis-_-GQ857549--_20B_T	28
Ignatzschineria_larvae-_-AJ252143--_L1/68_T	30
Wohlfahrtiimonas_chitiniclastica-_-AM397063--_S5_T	28
Dichelobacter_nodosus-_-JN175347--_CIP_107042_T	37
Cardiobacterium_hominis-_-ACKY01000036--_ATCC_15826_T	37
Cardiobacterium_valvarum-_-AF506987--_MDA3079_T	36
Thiofaba_tepidiphila-_-AB304258--_BDA453_-=_NBRC_103218-_T	45
Delftia_acidovorans-_-AB021417--_IAM_12409_T	37
Brachymonas_chironomi-_-EU346912--_AIMA4_T	28
Comamonas_testosteroni-_-M11224--_ATCC_11996_LTP__T	30
Comamonas_granuli-_-AB681516--_NBRC_101663_T	28
Alicycliphilus_denitrificans-_-AJ418042--_K601_T	28
Acidovorax_oryzae-_-DQ360414--_FC-143_T	25
Acidovorax_radicis-_-HM027578--_N35_T	10
Acidovorax_delafieldii-_-AF078764--_ATCC_17505_T	30
Verminephrobacter_eiseniae-_-DQ327663--_EF01-2_T	28
Rhodoferax_antarcticus-_-GU233447--_ANT.BR_T	20
Albidiferax_ferrireducens-_-CP000267--_DSM_15236_T	25
Rhodoferax_saidenbachensis-_-FJ755906--_ED16_T	20
Polaromonas_naphthalenivorans-_-CP000529--_CJ2_T	20
Polaromonas_jejuensis-_-EU030285--_JS12-13_T	28
Caenimonas_koreensis-_-DQ349098--_EMB320_T	28
Limnohabitans_parvus-_-FM165536--_II-B4_T	28
Limnohabitans_planktonicus-_-FM165535--_II-D5_T	28
Variovorax_paradoxus-_-AB680784--_NBRC_15149_T	25
Variovorax_boronicumulans-_-AB300597--_BAM-48_T	28
Variovorax_soli-_-DQ432053--_GH9-3_T	30
Hydrogenophaga_taeniospiralis-_-AF078768--_ATCC_49743_T	30
Hylemonella_gracilis-_-AF078753--_ATCC_19624_T	30
Ramlibacter_tataouinensis-_-CP000245--_TTB310_T	30
Sphaerotilus_natans_subsp._sulfidivorans-_-FJ871054--_D-501_T	25
Sphaerotilus_natans_subsp._natans-_-FR749902--_DSM_6575_T	25
Methylibium_petroleiphilum-_-AF176594--_PM1_T	30
Caldimonas_manganoxidans-_-AB008801--_JCM_10698_T	50
Sutterella_parvirubra-_-AB300989--_YIT_11816_-=_JCM_14724-_=_DSM_19354-_T	37
Parasutterella_excrementihominis-_-AB370250--_YIT_11859_-=_JCM_15078-_=_DSM_21040-_T	37
Massilia_niastensis-_-EU808005--_5516S-1_T	28
Massilia_alkalitolerans-_-AY679161--_YIM_31775_T	28
Massilia_timonae-_-AGZI01000009--_CCUG_45783_T	30
Pseudoduganella_violaceinigra-_-AY376163--_YIM_31327_T	28
Janthinobacterium_lividum-_-Y08846--_DSM_1522T_T	15
