"tip_label"	"accesion"	"taxid"	"taxname"	"taxrank"	"old_tip_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"
"621"	"HF558388"	"621"	"Shigella boydii"	"species"	"'HF558388, Shigella boydii, Shigella boydii, (HF558388), P288 T'"	"2"	"1224"	"1236"	"91347"	"543"	"620"	"621"
"2899544"	"MK734184"	"2899544"	"Intestinirhabdus alba"	"species"	"'MK734184, Intestinirhabdus alba, Intestinirhabdus alba, (MK734184), BIT-B35 T'"	"2"	"1224"	"1236"	"91347"	"543"	"2899543"	"2899544"
"545"	"HQ992945"	"545"	"Citrobacter koseri"	"species"	"'HQ992945, Citrobacter koseri, Citrobacter koseri, (HQ992945), LMG 5519 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"545"
"35703"	"FR870441"	"35703"	"Citrobacter amalonaticus"	"species"	"'FR870441, Citrobacter amalonaticus, Citrobacter amalonaticus, (FR870441), CECT 863 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"35703"
"67824"	"AF025371"	"67824"	"Citrobacter farmeri"	"species"	"'AF025371, Citrobacter farmeri, Citrobacter farmeri, (AF025371), CDC 2991-81 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67824"
"2653932"	"MN603664"	"2653932"	"Citrobacter telavivensis"	"species"	"'MN603664, Citrobacter telavivensis, Citrobacter telavivensis, (MN603664), NMI7904_11 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"2653932"
"67825"	"AF025363"	"67825"	"Citrobacter rodentium"	"species"	"'AF025363, Citrobacter rodentium, Citrobacter rodentium, (AF025363), CDC 1843-73 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67825"
"67826"	"AF025364"	"67826"	"Citrobacter sedlakii"	"species"	"'AF025364, Citrobacter sedlakii, Citrobacter sedlakii, (AF025364), CDC 4696-86 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67826"
"208223"	"AJ508303"	"208223"	"Kosakonia cowanii"	"species"	"'AJ508303, Kosakonia cowanii, Kosakonia cowanii, (AJ508303), CIP 107300 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"208223"
"565"	"AB682276"	"565"	"Escherichia hermannii"	"species"	"'AB682276, Escherichia hermannii, Escherichia hermannii, (AB682276), NBRC 105704 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	"565"
"255519"	"AY373829"	"255519"	"Salmonella subterranea"	"species"	"'AY373829, Salmonella subterranea, Salmonella subterranea, (AY373829), FRCl T'"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	"255519"
"244366"	"CP010523"	"244366"	"Klebsiella variicola subsp. variicola"	"species"	"'CP010523, Klebsiella variicola subsp. variicola, Klebsiella variicola subsp. variicola, (CP010523), DSM 15968 n[G] T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"244366"
"39824"	"AF009171"	"39824"	"Klebsiella granulomatis"	"species"	"'AF009171, Klebsiella granulomatis, Klebsiella granulomatis, (AF009171), no culture T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"39824"
"2489010"	"MK040622"	"2489010"	"Klebsiella africana"	"species"	"'MK040622, Klebsiella africana, Klebsiella africana, (MK040622), SB5857 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2489010"
"573"	"MK040621"	"573"	"Klebsiella variicola subsp. tropica"	"species"	"'MK040621, Klebsiella variicola subsp. tropica, Klebsiella variicola subsp. tropica, (MK040621), SB5531 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"
"550"	"AJ251469"	"550"	"Enterobacter cloacae subsp. cloacae"	"species"	"'AJ251469, Enterobacter cloacae subsp. cloacae, Enterobacter cloacae subsp. cloacae, (AJ251469), ATCC13047T T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"
"990143"	"HQ888848"	"990143"	"Enterobacter siamensis"	"species"	"'HQ888848, Enterobacter siamensis, Enterobacter siamensis, (HQ888848), C2361 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"990143"
"497725"	"EF488759"	"497725"	"Kosakonia oryzae"	"species"	"'EF488759, Kosakonia oryzae, Kosakonia oryzae, (EF488759), Ola 51 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"497725"
"1005667"	"JF795013"	"1005667"	"Kosakonia oryziphila"	"species"	"'JF795013, Kosakonia oryziphila, Kosakonia oryziphila, (JF795013), REICA_142 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1005667"
"551989"	"EU672801"	"551989"	"Kosakonia arachidis"	"species"	"'EU672801, Kosakonia arachidis, Kosakonia arachidis, (EU672801), Ah-143 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"551989"
"1158459"	"JQ001784"	"1158459"	"Kosakonia sacchari"	"species"	"'JQ001784, Kosakonia sacchari, Kosakonia sacchari, (JQ001784), SP1 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1158459"
"1646340"	"KP345901"	"1646340"	"Kosakonia pseudosacchari"	"species"	"'KP345901, Kosakonia pseudosacchari, Kosakonia pseudosacchari, (KP345901), JM-387 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1646340"
"1005665"	"JF795011"	"1005665"	"Kosakonia oryzendophytica"	"species"	"'JF795011, Kosakonia oryzendophytica, Kosakonia oryzendophytica, (JF795011), REICA_082 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"1005665"
"2529380"	"MK567956"	"2529380"	"Kosakonia quasisacchari"	"species"	"'MK567956, Kosakonia quasisacchari, Kosakonia quasisacchari, (MK567956), WCHEs120001 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	"2529380"
"1505757"	"LK054215"	"1505757"	"Siccibacter colletis"	"species"	"'LK054215, Siccibacter colletis, Siccibacter colletis, (LK054215), 1383 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1649298"	"1505757"
"1855371"	"KX893413"	"1855371"	"Phytobacter palmae"	"species"	"'KX893413, Phytobacter palmae, Phytobacter palmae, (KX893413), S29 T'"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1855371"
"1972431"	"FJ611881"	"1972431"	"Phytobacter ursingii"	"species"	"'FJ611881, Phytobacter ursingii, Phytobacter ursingii, (FJ611881), ATCC 27989 T'"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"1972431"
"395631"	"DQ821583"	"395631"	"Phytobacter diazotrophicus"	"species"	"'DQ821583, Phytobacter diazotrophicus, Phytobacter diazotrophicus, (DQ821583), LS 8 T'"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	"395631"
"133448"	"AB273741"	"133448"	"Citrobacter youngae"	"species"	"'AB273741, Citrobacter youngae, Citrobacter youngae, (AB273741), GTC 1314 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"133448"
"2478464"	"LC368255"	"2478464"	"Enterobacter oligotrophicus"	"species"	"'LC368255, Enterobacter oligotrophicus, Enterobacter oligotrophicus, (LC368255), CCA6 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2478464"
"28141"	"EF088379"	"28141"	"Cronobacter sakazakii"	"species"	"'EF088379, Cronobacter sakazakii, Cronobacter sakazakii, (EF088379), ATCC 29544 T'"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"28141"
"435910"	"DQ273684"	"435910"	"Franconibacter pulveris"	"species"	"'DQ273684, Franconibacter pulveris, Franconibacter pulveris, (DQ273684), 601/05 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"435910"
"2047724"	"KX865161"	"2047724"	"Franconibacter daqui"	"species"	"'KX865161, Franconibacter daqui, Franconibacter daqui, (KX865161), DL503 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"2047724"
"357240"	"DQ273688"	"357240"	"Franconibacter helveticus"	"species"	"'DQ273688, Franconibacter helveticus, Franconibacter helveticus, (DQ273688), LMG 23732 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	"357240"
"570012"	"FJ267523"	"570012"	"Shimwellia pseudoproteus"	"species"	"'FJ267523, Shimwellia pseudoproteus, Shimwellia pseudoproteus, (FJ267523), 521 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1335483"	"570012"
"2799638"	"MW411192"	"2799638"	"Tenebrionibacter intestinalis"	"species"	"'MW411192, Tenebrionibacter intestinalis, Tenebrionibacter intestinalis, (MW411192), BIT-L3 T'"	"2"	"1224"	"1236"	"91347"	"543"	"2918836"	"2799638"
"2815733"	"MW680835"	"2815733"	"Tenebrionicola larvae"	"species"	"'MW680835, Tenebrionicola larvae, Tenebrionicola larvae, (MW680835), YMB-R21 T'"	"2"	"1224"	"1236"	"91347"	"543"	"2943312"	"2815733"
"1384589"	"KF500917"	"1384589"	"Erwinia teleogrylli"	"species"	"'KF500917, Erwinia teleogrylli, Erwinia teleogrylli, (KF500917), SCU-B244 T'"	"2"	"1224"	"1236"	"91347"	"543"	"2943317"	"1384589"
"552"	"AJ233410"	"552"	"Erwinia amylovora"	"species"	"'AJ233410, Erwinia amylovora, Erwinia amylovora, (AJ233410), DSM 30165 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"552"
"717607"	"AB546198"	"717607"	"Erwinia uzenensis"	"species"	"'AB546198, Erwinia uzenensis, Erwinia uzenensis, (AB546198), YPPS951 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"717607"
"2562439"	"MK722097"	"2562439"	"Mixta tenebrionis"	"species"	"'MK722097, Mixta tenebrionis, Mixta tenebrionis, (MK722097), BIT-26 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"2562439"
"68334"	"FN547376"	"68334"	"Erwinia aphidicola"	"species"	"'FN547376, Erwinia aphidicola, Erwinia aphidicola, (FN547376), LMG 24877 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"68334"
"55212"	"AJ233417"	"55212"	"Erwinia rhapontici"	"species"	"'AJ233417, Erwinia rhapontici, Erwinia rhapontici, (AJ233417), DSM 4484 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"55212"
"55211"	"Z96086"	"55211"	"Erwinia persicina"	"species"	"'Z96086, Erwinia persicina, Erwinia persicina, (Z96086), LMG 11254 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"55211"
"182337"	"Y13249"	"182337"	"Erwinia billingiae"	"species"	"'Y13249, Erwinia billingiae, Erwinia billingiae, (Y13249), LMG 2613 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"182337"
"1563158"	"LN624761"	"1563158"	"Erwinia endophytica"	"species"	"'LN624761, Erwinia endophytica, Erwinia endophytica, (LN624761), BSTT30 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"1563158"
"472693"	"EU216736"	"472693"	"Pantoea eucrina"	"species"	"'EU216736, Pantoea eucrina, Pantoea eucrina, (EU216736), LMG 2781 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"472693"
"1076551"	"JF295057"	"1076551"	"Pantoea wallisii"	"species"	"'JF295057, Pantoea wallisii, Pantoea wallisii, (JF295057), LMG 26277 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"1076551"
"59814"	"DQ504305"	"59814"	"Pantoea dispersa"	"species"	"'DQ504305, Pantoea dispersa, Pantoea dispersa, (DQ504305), LMG2603 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"59814"
"1465635"	"KJ427829"	"1465635"	"Pantoea coffeiphila"	"species"	"'KJ427829, Pantoea coffeiphila, Pantoea coffeiphila, (KJ427829), Ca04 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"1465635"
"69222"	"AJ233414"	"69222"	"Erwinia mallotivora"	"species"	"'AJ233414, Erwinia mallotivora, Erwinia mallotivora, (AJ233414), DSM 4565 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"69222"
"69224"	"JQ809696"	"69224"	"Erwinia psidii"	"species"	"'JQ809696, Erwinia psidii, Erwinia psidii, (JQ809696), LMG 7039 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"69224"
"65700"	"Y13250"	"65700"	"Erwinia tracheiphila"	"species"	"'Y13250, Erwinia tracheiphila, Erwinia tracheiphila, (Y13250), LMG 2906-T T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"65700"
"1615494"	"KP326384"	"1615494"	"Mixta intestinalis"	"species"	"'KP326384, Mixta intestinalis, Mixta intestinalis, (KP326384), 29Y89B T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"1615494"
"1458355"	"AB907776"	"1458355"	"Mixta theicola"	"species"	"'AB907776, Mixta theicola, Mixta theicola, (AB907776), QC88-366 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"1458355"
"796334"	"GU810925"	"796334"	"Erwinia oleae"	"species"	"'GU810925, Erwinia oleae, Erwinia oleae, (GU810925), DAPP-PG 531 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"796334"
"1926881"	"KY744694"	"1926881"	"Izhakiella australiensis"	"species"	"'KY744694, Izhakiella australiensis, Izhakiella australiensis, (KY744694), D4N98 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	"1926881"
"1367852"	"KF436763"	"1367852"	"Izhakiella capsodis"	"species"	"'KF436763, Izhakiella capsodis, Izhakiella capsodis, (KF436763), N6PO6 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	"1367852"
"1619313"	"FJ611848"	"1619313"	"Erwinia gerundensis"	"species"	"'FJ611848, Erwinia gerundensis, Erwinia gerundensis, (FJ611848), EM595 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"3026546"	"1619313"
"665913"	"GQ367478"	"665913"	"Mixta calida"	"species"	"'GQ367478, Mixta calida, Mixta calida, (GQ367478), 1400/07 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"665913"
"665914"	"GQ367483"	"665914"	"Mixta gaviniae"	"species"	"'GQ367483, Mixta gaviniae, Mixta gaviniae, (GQ367483), A18/07 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	"665914"
"2364647"	"MG923525"	"2364647"	"Pantoea piersonii"	"species"	"'MG923525, Pantoea piersonii, Pantoea piersonii, (MG923525), IIIF1SW-P2 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"2662752"	"2364647"
"2853256"	"MZ457073"	"2853256"	"Erwinia phyllosphaerae"	"species"	"'MZ457073, Erwinia phyllosphaerae, Erwinia phyllosphaerae, (MZ457073), CMYE1 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"2853256"
"1560201"	"KM870781"	"1560201"	"Erwinia iniecta"	"species"	"'KM870781, Erwinia iniecta, Erwinia iniecta, (KM870781), B120 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"1560201"
"92490"	"FR870447"	"92490"	"Erwinia toletana"	"species"	"'FR870447, Erwinia toletana, Erwinia toletana, (FR870447), CECT 5263 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"92490"
"371042"	"GU166291"	"371042"	"Erwinia typographi"	"species"	"'GU166291, Erwinia typographi, Erwinia typographi, (GU166291), Y1 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	"371042"
"55209"	"AJ233413"	"55209"	"Pantoea cypripedii"	"species"	"'AJ233413, Pantoea cypripedii, Pantoea cypripedii, (AJ233413), DSM 3873 T'"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"55209"
"2529382"	"MK567958"	"2529382"	"Enterobacter quasihormaechei"	"species"	"'MK567958, Enterobacter quasihormaechei, Enterobacter quasihormaechei, (MK567958), WCHEs120003 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2529382"
"81476"	"AJ010486"	"81476"	"Pluralibacter pyrinus"	"species"	"'AJ010486, Pluralibacter pyrinus, Pluralibacter pyrinus, (AJ010486), KCTC2520 T'"	"2"	"1224"	"1236"	"91347"	"543"	"1330546"	"81476"
"566"	"AB681776"	"566"	"Pseudescherichia vulneris"	"species"	"'AB681776, Pseudescherichia vulneris, Pseudescherichia vulneris, (AB681776), NBRC 102420 T'"	"2"	"1224"	"1236"	"91347"	"543"	"2055880"	"566"
"881260"	"HQ122932"	"881260"	"Enterobacter bugandensis"	"species"	"'HQ122932, Enterobacter bugandensis, Enterobacter bugandensis, (HQ122932), 247BMC T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"881260"
"69218"	"Z96078"	"69218"	"Enterobacter cancerogenus"	"species"	"'Z96078, Enterobacter cancerogenus, Enterobacter cancerogenus, (Z96078), LMG 2693 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"69218"
"2797506"	"VTTY00000000"	"2797506"	"Enterobacter dykesii"	"species"	"'VTTY00000000, Enterobacter dykesii, Enterobacter dykesii, (VTTY00000000), E1 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2797506"
"2494702"	"MK049964"	"2494702"	"Enterobacter huaxiensis"	"species"	"'MK049964, Enterobacter huaxiensis, Enterobacter huaxiensis, (MK049964), WCHEn090008 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2494702"
"83655"	"AB681872"	"83655"	"Leclercia adecarboxylata"	"species"	"'AB681872, Leclercia adecarboxylata, Leclercia adecarboxylata, (AB681872), NBRC 102595 T'"	"2"	"1224"	"1236"	"91347"	"543"	"83654"	"83655"
"299767"	"AJ853891"	"299767"	"Enterobacter ludwigii"	"species"	"'AJ853891, Enterobacter ludwigii, Enterobacter ludwigii, (AJ853891), EN-119 = DSMZ 16688 = CIP 108491 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"299767"
"2529381"	"MK567957"	"2529381"	"Enterobacter wuhouensis"	"species"	"'MK567957, Enterobacter wuhouensis, Enterobacter wuhouensis, (MK567957), WCHEs120002 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2529381"
"2497875"	"MK049966"	"2497875"	"Enterobacter chuandaensis"	"species"	"'MK049966, Enterobacter chuandaensis, Enterobacter chuandaensis, (MK049966), WCHEn090028 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2497875"
"2497436"	"LFDQ02000000"	"2497436"	"Enterobacter quasiroggenkampii"	"species"	"'LFDQ02000000, Enterobacter quasiroggenkampii, Enterobacter quasiroggenkampii, (LFDQ02000000), WCHECL1060 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2497436"
"2838947"	"RXRX01000000"	"2838947"	"Enterobacter quasimori"	"species"	"'RXRX01000000, Enterobacter quasimori, Enterobacter quasimori, (RXRX01000000), WCHEM090044 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2838947"
"158822"	"AB086230"	"158822"	"Cedecea neteri"	"species"	"'AB086230, Cedecea neteri, Cedecea neteri, (AB086230), GTC1717 T'"	"2"	"1224"	"1236"	"91347"	"543"	"158483"	"158822"
"158823"	"KY797643"	"158823"	"Cedecea lapagei"	"species"	"'KY797643, Cedecea lapagei, Cedecea lapagei, (KY797643), DSM 4587 T'"	"2"	"1224"	"1236"	"91347"	"543"	"158483"	"158823"
"2797505"	"VTUC01000000"	"2797505"	"Enterobacter vonholyi"	"species"	"'VTUC01000000, Enterobacter vonholyi, Enterobacter vonholyi, (VTUC01000000), HHU 13199 E13 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2797505"
"61645"	"AB004744"	"61645"	"Enterobacter asburiae"	"species"	"'AB004744, Enterobacter asburiae, Enterobacter asburiae, (AB004744), JCM6051 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"61645"
"1812935"	"CP017184"	"1812935"	"Enterobacter roggenkampii"	"species"	"'CP017184, Enterobacter roggenkampii, Enterobacter roggenkampii, (CP017184), DSM 16690 n[G] T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"1812935"
"2071710"	"MG832788"	"2071710"	"Enterobacter sichuanensis"	"species"	"'MG832788, Enterobacter sichuanensis, Enterobacter sichuanensis, (MG832788), WCHECL1597 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2071710"
"2494701"	"MTSO01000000"	"2494701"	"Enterobacter chengduensis"	"species"	"'MTSO01000000, Enterobacter chengduensis, Enterobacter chengduensis, (MTSO01000000), WCHECl-C4 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"2494701"
"57706"	"AF025368"	"57706"	"Citrobacter braakii"	"species"	"'AF025368, Citrobacter braakii, Citrobacter braakii, (AF025368), CDC 80-58 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"57706"
"67829"	"AF025369"	"67829"	"Citrobacter murliniae"	"species"	"'AF025369, Citrobacter murliniae, Citrobacter murliniae, (AF025369), CDC 2970-59 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67829"
"1914243"	"LT615140"	"1914243"	"Citrobacter europaeus"	"species"	"'LT615140, Citrobacter europaeus, Citrobacter europaeus, (LT615140), 97/79 (=CIP 106467) T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"1914243"
"1639133"	"MVFY01000035"	"1639133"	"Citrobacter portucalensis"	"species"	"'MVFY01000035, Citrobacter portucalensis, Citrobacter portucalensis, (MVFY01000035), A60 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"1639133"
"67827"	"AF025373"	"67827"	"Citrobacter werkmanii"	"species"	"'AF025373, Citrobacter werkmanii, Citrobacter werkmanii, (AF025373), CDC 0876-58 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67827"
"1748967"	"MN548424"	"1748967"	"Citrobacter cronae"	"species"	"'MN548424, Citrobacter cronae, Citrobacter cronae, (MN548424), Tue2_1 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"1748967"
"67828"	"AF025367"	"67828"	"Citrobacter gillenii"	"species"	"'AF025367, Citrobacter gillenii, Citrobacter gillenii, (AF025367), CDC 4693-86 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"67828"
"1563222"	"KP057683"	"1563222"	"Citrobacter pasteurii"	"species"	"'KP057683, Citrobacter pasteurii, Citrobacter pasteurii, (KP057683), CIP 55.13 T'"	"2"	"1224"	"1236"	"91347"	"543"	"544"	"1563222"
"158877"	"JN175339"	"158877"	"Yokenella regensburgei"	"species"	"'JN175339, Yokenella regensburgei, Yokenella regensburgei, (JN175339), CIP 105435 T'"	"2"	"1224"	"1236"	"91347"	"543"	"158876"	"158877"
"2587529"	"MN091366"	"2587529"	"Klebsiella pasteurii"	"species"	"'MN091366, Klebsiella pasteurii, Klebsiella pasteurii, (MN091366), SPARK836C1 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2587529"
"1134687"	"JQ070300"	"1134687"	"Klebsiella michiganensis"	"species"	"'JQ070300, Klebsiella michiganensis, Klebsiella michiganensis, (JQ070300), W14 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"1134687"
"2058152"	"AJ871861"	"2058152"	"Klebsiella grimontii"	"species"	"'AJ871861, Klebsiella grimontii, Klebsiella grimontii, (AJ871861), SB73 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2058152"
"2587528"	"MN091365"	"2587528"	"Klebsiella spallanzanii"	"species"	"'MN091365, Klebsiella spallanzanii, Klebsiella spallanzanii, (MN091365), SB6411_SPARK775C1T_Ko3 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2587528"
"571"	"AF129440"	"571"	"Klebsiella oxytoca"	"species"	"'AF129440, Klebsiella oxytoca, Klebsiella oxytoca, (AF129440), ATCC 13182T T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"571"
"208224"	"AJ508301"	"208224"	"Enterobacter kobei"	"species"	"'AJ508301, Enterobacter kobei, Enterobacter kobei, (AJ508301), CIP 105566 T'"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"208224"
"2153354"	"MH179329"	"2153354"	"Klebsiella huaxiensis"	"species"	"'MH179329, Klebsiella huaxiensis, Klebsiella huaxiensis, (MH179329), WCHKl090001 T'"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"2153354"
"577"	"AB680714"	"577"	"Raoultella terrigena"	"species"	"'AB680714, Raoultella terrigena, Raoultella terrigena, (AB680714), NBRC 14941 T'"	"2"	"1224"	"1236"	"91347"	"543"	"160674"	"577"
"1259973"	"AB762091"	"1259973"	"Raoultella electrica"	"species"	"'AB762091, Raoultella electrica, Raoultella electrica, (AB762091), 1GB T'"	"2"	"1224"	"1236"	"91347"	"543"	"160674"	"1259973"
