"tip_label"	"accesion"	"taxid"
"'MH517510, Pseudomonas asiatica, Pseudomonas asiatica, (MH517510), RYU5 T'"	"MH517510"	306
"'CP002881, Pseudomonas stutzeri, Pseudomonas stutzeri, (CP002881), CGMCC 1.1803 T'"	"CP002881"	316
"'DQ318866, Pseudomonas syringae, Pseudomonas syringae, (DQ318866), NCPPB 281; 8511 T'"	"DQ318866"	321
"'AY741342, Ralstonia pickettii, Ralstonia pickettii, (AY741342), ATCC 27511 T'"	"AY741342"	329
"'Z76673, Pseudomonas chlororaphis subsp. chlororaphis, Pseudomonas chlororaphis subsp. chlororaphis, (Z76673), DSM 50083T  T'"	"Z76673"	333
"'X99299, Xanthomonas translucens, Xanthomonas translucens, (X99299), LMG 876 T'"	"X99299"	339
"'X95921, Xanthomonas oryzae, Xanthomonas oryzae, (X95921), LMG 5047-T T'"	"X95921"	347
"'X74913, Zoogloea ramigera, Zoogloea ramigera, (X74913), ATCC 19544 (T) T'"	"X74913"	350
"'AB175653, Azotobacter chroococcum subsp. chroococcum, Azotobacter chroococcum subsp. chroococcum, (AB175653), IAM 12666 T'"	"AB175653"	353
"'AB175657, Azotobacter vinelandii, Azotobacter vinelandii, (AB175657), IAM 15004 T'"	"AB175657"	354
"'AB247615, Agrobacterium radiobacter, Agrobacterium radiobacter, (AB247615), IAM 12048 T'"	"AB247615"	358
"'JABXYF000000000, Agrobacterium tomkonis, Agrobacterium tomkonis, (JABXYF000000000), IIF1SW-B1 T'"	"JABXYF000000000"	358
"'D14501, Rhizobium rhizogenes, Rhizobium rhizogenes, (D14501), IFO 13257 T'"	"D14501"	359
"'MF443188, Agrobacterium rosae, Agrobacterium rosae, (MF443188), NCPPB 1650 T'"	"MF443188"	361
"'U45329, Allorhizobium vitis, Allorhizobium vitis, (U45329), NCPPB3554 T'"	"U45329"	373
"'MT393596, Bradyrhizobium hipponense, Bradyrhizobium hipponense, (MT393596), aSej3 T'"	"MT393596"	376
"'KX396570, Bradyrhizobium ivorense, Bradyrhizobium ivorense, (KX396570), CI-1B T'"	"KX396570"	376
"'X67231, Ensifer fredii, Ensifer fredii, (X67231), LMG 6217 T'"	"X67231"	380
"'X67229, Mesorhizobium loti, Mesorhizobium loti, (X67229), LMG 6125 T'"	"X67229"	381
"'D14509, Ensifer meliloti, Ensifer meliloti, (D14509), IAM 12611 T'"	"D14509"	382
"'EF141340, Rhizobium phaseoli, Rhizobium phaseoli, (EF141340), ATCC 14482 T'"	"EF141340"	396
"'X67226, Neorhizobium galegae, Neorhizobium galegae, (X67226), LMG 6214 T'"	"X67226"	399
"'DQ287787, Methylobacillus flagellatus, Methylobacillus flagellatus, (DQ287787), KT T'"	"DQ287787"	405
"'FR733701, Methylobacillus glycogenes, Methylobacillus glycogenes, (FR733701), DSM5685 T'"	"FR733701"	406
"'D32224, Methylorubrum extorquens, Methylorubrum extorquens, (D32224), JCM 2802 T'"	"D32224"	408
"'MN154398, Methylobacterium symbioticum, Methylobacterium symbioticum, (MN154398), CECT 9862 T'"	"MN154398"	409
"'AB175638, Methylobacterium organophilum, Methylobacterium organophilum, (AB175638), ATCC 27886 T'"	"AB175638"	410
"'AF304195, Methylobacter luteus, Methylobacter luteus, (AF304195), NCIMB 11914 T'"	"AF304195"	415
"'AF304196, Methylomonas methanica, Methylomonas methanica, (AF304196), S1; NCIMB 11130 T'"	"AF304196"	421
"'Y18946, Methylosinus sporium, Methylosinus sporium, (Y18946), NCIMB 11126 T'"	"Y18946"	428
"'AY688433, Komagataeibacter kombuchae, Komagataeibacter kombuchae, (AY688433), RG3 T'"	"AY688433"	436
"'X75620, Komagataeibacter hansenii, Komagataeibacter hansenii, (X75620), NCIB8746, LMG1527 T'"	"X75620"	436
"'X77468, Acidomonas methanolica, Acidomonas methanolica, (X77468), LMG 1668 T'"	"X77468"	437
"'X73820, Gluconobacter oxydans, Gluconobacter oxydans, (X73820), DSM 3503 T'"	"X73820"	442
"'M36023, Legionella pneumophila, Legionella pneumophila, (M36023), Philadelphia 1 T'"	"M36023"	446
"'M36031, Legionella bozemanae, Legionella bozemanae, (M36031), WIGA T'"	"M36031"	447
"'Z32638, Legionella erythra, Legionella erythra, (Z32638), SE-32A-C8 LTP [T] T'"	"Z32638"	448
"'M36028, Legionella hackeliae, Legionella hackeliae, (M36028), Lansing-2 T'"	"M36028"	449
"'AY444740, Legionella longbeachae, Legionella longbeachae, (AY444740), ATCC 33462 T'"	"AY444740"	450
"'AF227162, Legionella micdadei, Legionella micdadei, (AF227162), ATCC33218 T'"	"AF227162"	451
"'M36030, Legionella spiritensis, Legionella spiritensis, (M36030), Mt St Helens-9 T'"	"M36030"	452
"'X73395, Legionella feeleii, Legionella feeleii, (X73395), ATCC 35072 T'"	"X73395"	453
"'Z32640, Legionella israelensis, Legionella israelensis, (Z32640), Bercovier-4 LTP [T] T'"	"Z32640"	454
"'Z49726, Legionella jamestowniensis, Legionella jamestowniensis, (Z49726), nctc 11981 LTP [T] T'"	"Z49726"	455
"'Z32667, Legionella jordanis, Legionella jordanis, (Z32667), BL-540 LTP [T] T'"	"Z32667"	456
"'Z32643, Legionella rubrilucens, Legionella rubrilucens, (Z32643), WA-270A-C2 LTP [T] T'"	"Z32643"	458
"'X97359, Legionella rowbothamii, Legionella rowbothamii, (X97359), LLAP6 T'"	"X97359"	459
"'X97363, Legionella fallonii, Legionella fallonii, (X97363), LLAP10 T'"	"X97363"	459
"'X97355, Legionella drozanskii, Legionella drozanskii, (X97355), LLAP1 T'"	"X97355"	459
"'Z49737, Legionella steigerwaltii, Legionella steigerwaltii, (Z49737), nctc 11991 LTP [T] T'"	"Z49737"	460
"'Z32639, Legionella gormanii, Legionella gormanii, (Z32639), LS-13 LTP [T] T'"	"Z32639"	464
"'AF227161, Legionella maceachernii, Legionella maceachernii, (AF227161), ATCC35300 T'"	"AF227161"	466
"'X81660, Acinetobacter baumannii, Acinetobacter baumannii, (X81660), DSM 30007 LTP [T] T'"	"X81660"	470
"'MN701878, Acinetobacter pollinis, Acinetobacter pollinis, (MN701878), SCC77 T'"	"MN701878"	472
"'AF005182, Moraxella bovis, Moraxella bovis, (AF005182), ATCC 10900T T'"	"AF005182"	476
"'AF005160, Moraxella lacunata, Moraxella lacunata, (AF005160), ATCC 17967T T'"	"AF005160"	477
"'JN175343, Moraxella nonliquefaciens, Moraxella nonliquefaciens, (JN175343), CIP 68.36 T'"	"JN175343"	478
"'AF005185, Moraxella catarrhalis, Moraxella catarrhalis, (AF005185), ATCC 25238T T'"	"AF005185"	480
"'L06168, Neisseria flavescens, Neisseria flavescens, (L06168), ATCC 13120 LTP [T] T'"	"L06168"	484
"'X07714, Neisseria gonorrhoeae, Neisseria gonorrhoeae, (X07714), NCTC 83785 T'"	"X07714"	485
"'AJ239286, Neisseria lactamica, Neisseria lactamica, (AJ239286), NCTC10617 T'"	"AJ239286"	486
"'AJ247244, Neisseria meningitidis, Neisseria meningitidis, (AJ247244), DSM 10036 T'"	"AJ247244"	487
"'AJ247257, Neisseria mucosa, Neisseria mucosa, (AJ247257), ATCC 19696 T'"	"AJ247257"	488
"'AJ239288, Neisseria animalis, Neisseria animalis, (AJ239288), NCTC10212 T'"	"AJ239288"	492
"'L06170, Neisseria canis, Neisseria canis, (L06170), ATCC 14687 T'"	"L06170"	493
"'AB087265, Bergeriella denitrificans, Bergeriella denitrificans, (AB087265), IAM 14975 T'"	"AB087265"	494
"'U39399, Psychrobacter immobilis, Psychrobacter immobilis, (U39399), ATCC 43116 T'"	"U39399"	498
"'D88008, Alcaligenes faecalis subsp. faecalis, Alcaligenes faecalis subsp. faecalis, (D88008), IAM12369 T'"	"D88008"	511
"'U04948, Bordetella bronchiseptica, Bordetella bronchiseptica, (U04948), ATCC 19395 T'"	"U04948"	518
"'AF177666, Bordetella avium, Bordetella avium, (AF177666), ATCC 35086 T'"	"AF177666"	521
"'D30772, Acidiphilium angustum, Acidiphilium angustum, (D30772), ATCC 35903 T'"	"D30772"	523
"'D30773, Acidiphilium cryptum, Acidiphilium cryptum, (D30773), ATCC 33463 T'"	"D30773"	524
"'D30774, Acidocella facilis, Acidocella facilis, (D30774), ATCC 35904 T'"	"D30774"	525
"'D30776, Acidiphilium rubrum, Acidiphilium rubrum, (D30776), ATCC 35905 T'"	"D30776"	526
"'AB680302, Chromobacterium violaceum, Chromobacterium violaceum, (AB680302), NBRC 12614 T'"	"AB680302"	536
"'AB681839, Iodobacter fluviatilis, Iodobacter fluviatilis, (AB681839), NBRC 102505 T'"	"AB681839"	537
"'AB525415, Eikenella corrodens, Eikenella corrodens, (AB525415), JCM 12952 T'"	"AB525415"	539
"'HQ992945, Citrobacter koseri, Citrobacter koseri, (HQ992945), LMG 5519 T'"	"HQ992945"	545
"'AJ233423, Pantoea agglomerans, Pantoea agglomerans, (AJ233423), DSM 3493 T'"	"AJ233423"	549
"'AJ251469, Enterobacter cloacae subsp. cloacae, Enterobacter cloacae subsp. cloacae, (AJ251469), ATCC13047T T'"	"AJ251469"	550
"'AJ417484, Enterobacter cloacae, Enterobacter cloacae, (AJ417484), ATCC 13047 T'"	"AJ417484"	550
"'AJ233410, Erwinia amylovora, Erwinia amylovora, (AJ233410), DSM 30165 T'"	"AJ233410"	552
"'U80196, Pantoea ananatis, Pantoea ananatis, (U80196), ATCC 33244 T'"	"U80196"	553
"'AJ233411, Pectobacterium carotovorum, Pectobacterium carotovorum, (AJ233411), DSM 30168 T'"	"AJ233411"	554
"'KC337335, Pectobacterium parvum, Pectobacterium parvum, (KC337335), 73a G5847 Pcc s0421 T'"	"KC337335"	554
"'AJ233412, Dickeya chrysanthemi, Dickeya chrysanthemi, (AJ233412), DSM 4610 T'"	"AJ233412"	556
"'AB682276, Escherichia hermannii, Escherichia hermannii, (AB682276), NBRC 105704 T'"	"AB682276"	565
"'AB681776, Pseudescherichia vulneris, Pseudescherichia vulneris, (AB681776), NBRC 102420 T'"	"AB681776"	566
"'AF129440, Klebsiella oxytoca, Klebsiella oxytoca, (AF129440), ATCC 13182T T'"	"AF129440"	571
"'X87276, Klebsiella pneumoniae subsp. pneumoniae, Klebsiella pneumoniae subsp. pneumoniae, (X87276), DSM 30104 T T'"	"X87276"	573
"'MK040621, Klebsiella variicola subsp. tropica, Klebsiella variicola subsp. tropica, (MK040621), SB5531 T'"	"MK040621"	573
"'Y17657, Klebsiella pneumoniae subsp. rhinoscleromatis, Klebsiella pneumoniae subsp. rhinoscleromatis, (Y17657), ATCC13884T T'"	"Y17657"	573
"'AF130982, Klebsiella pneumoniae subsp. ozaenae, Klebsiella pneumoniae subsp. ozaenae, (AF130982), ATCC11296 T'"	"AF130982"	574
"'AB680712, Raoultella planticola, Raoultella planticola, (AB680712), NBRC 14939 T'"	"AB680712"	575
"'MK942857, Klebsiella indica, Klebsiella indica, (MK942857), TOUT106 T'"	"MK942857"	576
"'AB680714, Raoultella terrigena, Raoultella terrigena, (AB680714), NBRC 14941 T'"	"AB680714"	577
"'AF310218, Kluyvera cryocrescens, Kluyvera cryocrescens, (AF310218), ATCC33435 T'"	"AF310218"	580
"'DQ885256, Proteus mirabilis, Proteus mirabilis, (DQ885256), NCTC 11938 T'"	"DQ885256"	584
"'HE978268, Proteus vulgaris, Proteus vulgaris, (HE978268), DSM 13387 T'"	"HE978268"	585
"'AM040492, Providencia rettgeri, Providencia rettgeri, (AM040492), DSM 4542 T'"	"AM040492"	587
"'AF008581, Providencia stuartii, Providencia stuartii, (AF008581), ATCC 29914 T'"	"AF008581"	588
"'AB061685, Serratia marcescens, Serratia marcescens, (AB061685), KRED T'"	"AB061685"	615
"'HF558388, Shigella boydii, Shigella boydii, (HF558388), P288 T'"	"HF558388"	621
"'X96966, Shigella dysenteriae, Shigella dysenteriae, (X96966), ATCC 13313 LTP [T] T'"	"X96966"	622
"'X96963, Shigella flexneri, Shigella flexneri, (X96963), ATCC 29903 LTP [T] T'"	"X96963"	623
"'FR870445, Shigella sonnei, Shigella sonnei, (FR870445), CECT 4887 T'"	"FR870445"	624
"'AY278674, Xenorhabdus nematophila, Xenorhabdus nematophila, (AY278674), DSM3370 T'"	"AY278674"	628
"'AF366378, Yersinia enterocolitica subsp. enterocolitica, Yersinia enterocolitica subsp. enterocolitica, (AF366378), ATCC 9610 T'"	"AF366378"	630
"'AF366383, Yersinia pestis, Yersinia pestis, (AF366383), NCTC 5923 T'"	"AF366383"	632
"'AF366375, Yersinia pseudotuberculosis, Yersinia pseudotuberculosis, (AF366375), ATCC 29833 T'"	"AF366375"	633
"'AY264674, Arsenophonus nasoniae, Arsenophonus nasoniae, (AY264674), ATCC 49151 T'"	"AY264674"	638
"'DQ207728, Aeromonas hydrophila subsp. hydrophila, Aeromonas hydrophila subsp. hydrophila, (DQ207728), CCM 7232; ATCC 7966 T'"	"DQ207728"	644
"'X60412, Aeromonas sobria, Aeromonas sobria, (X60412), NCIMB 12065 T'"	"X60412"	646
"'X60408, Aeromonas punctata subsp. punctata, Aeromonas punctata subsp. punctata, (X60408), NCIMB 13016 T'"	"X60408"	648
"'X74674, Aeromonas caviae, Aeromonas caviae, (X74674), ATCC 15468T T'"	"X74674"	648
"'X60411, Aeromonas eucrenophila, Aeromonas eucrenophila, (X60411), NCIMB 74 T'"	"X60411"	649
"'X60413, Aeromonas jandaei, Aeromonas jandaei, (X60413), ATCC 49568 T'"	"X60413"	650
"'X60410, Aeromonas media, Aeromonas media, (X60410), ATCC 33907 T'"	"X60410"	651
"'X60416, Aeromonas schubertii, Aeromonas schubertii, (X60416), ATCC 43700 T'"	"X60416"	652
"'X71120, Aeromonas ichthiosmia, Aeromonas ichthiosmia, (X71120), DSM 6393 LTP [T] T'"	"X71120"	654
"'S39232, Aeromonas allosaccharophila, Aeromonas allosaccharophila, (S39232), CECT 4199 T'"	"S39232"	656
"'X74686, Photobacterium leiognathi, Photobacterium leiognathi, (X74686), ATCC 25521T T'"	"X74686"	658
"'D25310, Photobacterium phosphoreum, Photobacterium phosphoreum, (D25310), ATCC 11040 T'"	"D25310"	659
"'D25307, Photobacterium angustum, Photobacterium angustum, (D25307), ATCC 25915 T'"	"D25307"	661
"'X76337, Vibrio cholerae, Vibrio cholerae, (X76337), CECT 514 T T'"	"X76337"	666
"'X74702, Aliivibrio fischeri, Aliivibrio fischeri, (X74702), ATCC774T T'"	"X74702"	668
"'AY750575, Vibrio harveyi, Vibrio harveyi, (AY750575), NCIMB1280T T'"	"AY750575"	669
"'AF388386, Vibrio parahaemolyticus, Vibrio parahaemolyticus, (AF388386), ATCC 17802 T'"	"AF388386"	670
"'AB680395, Vibrio proteolyticus, Vibrio proteolyticus, (AB680395), NBRC 13287 T'"	"AB680395"	671
"'AJ514909, Grimontia hollisae, Grimontia hollisae, (AJ514909), LMG 17719 T'"	"AJ514909"	673
"'X74713, Vibrio mimicus, Vibrio mimicus, (X74713), ATCC 33653T T'"	"X74713"	674
"'X74698, Vibrio cincinnatiensis, Vibrio cincinnatiensis, (X74698), ATCC 35912T T'"	"X74698"	675
"'X76335, Vibrio fluvialis, Vibrio fluvialis, (X76335), NCTC 11327 T T'"	"X76335"	676
"'MG788349, Vibrio echinoideorum, Vibrio echinoideorum, (MG788349), NFH.MB010 T'"	"MG788349"	678
"'AB681957, Vibrio diazotrophicus, Vibrio diazotrophicus, (AB681957), NBRC 103148 T'"	"AB681957"	685
"'X74705, Vibrio gazogenes, Vibrio gazogenes, (X74705), ATCC 29988T T'"	"X74705"	687
"'AJ437616, Aliivibrio logei, Aliivibrio logei, (AJ437616), NCIMB 2252 T'"	"AJ437616"	688
"'X74710, Vibrio mediterranei, Vibrio mediterranei, (X74710), CIP 10320T T'"	"X74710"	689
"'AB680923, Vibrio nereis, Vibrio nereis, (AB680923), NBRC 15637 T'"	"AB680923"	693
"'X60418, Plesiomonas shigelloides, Plesiomonas shigelloides, (X60418), NCIMB9242 T'"	"X60418"	703
"'M75039, Aggregatibacter actinomycetemcomitans, Aggregatibacter actinomycetemcomitans, (M75039), ATCC 33384 T'"	"M75039"	714
"'AY362886, Actinobacillus capsulatus, Actinobacillus capsulatus, (AY362886), CCUG 12396 T'"	"AY362886"	717
"'AY362890, Actinobacillus hominis, Actinobacillus hominis, (AY362890), NCTC 11529 T'"	"AY362890"	719
"'AY362892, Actinobacillus lignieresii, Actinobacillus lignieresii, (AY362892), NCTC 4189 T'"	"AY362892"	720
"'AY362897, Actinobacillus seminis, Actinobacillus seminis, (AY362897), CCUG 27187 T'"	"AY362897"	722
"'M75045, Haemophilus haemolyticus, Haemophilus haemolyticus, (M75045), NCTC 10659 T'"	"M75045"	726
"'M35019, Haemophilus influenzae, Haemophilus influenzae, (M35019), ATCC 33391 T'"	"M35019"	727
"'AY498868, Avibacterium paragallinarum, Avibacterium paragallinarum, (AY498868), NCTC 11296T T'"	"AY498868"	728
"'M63900, Haemophilus ducreyi, Haemophilus ducreyi, (M63900), CIP 54.2 T'"	"M63900"	730
"'AF549387, Histophilus somni, Histophilus somni, (AF549387), 8025; CCUG 36157; ATCC 43625 T'"	"AF549387"	731
"'AY362907, Canicola haemoglobinophilus, Canicola haemoglobinophilus, (AY362907), CCUG 3714 T'"	"AY362907"	733
"'M75061, Haemophilus paracuniculus, Haemophilus paracuniculus, (M75061), ATCC 29986 T'"	"M75061"	734
"'M75076, Haemophilus paraphrohaemolyticus, Haemophilus paraphrohaemolyticus, (M75076), NCTC 10670 T'"	"M75076"	736
"'AY362909, Glaesserella parasuis, Glaesserella parasuis, (AY362909), CCUG 3712 T'"	"AY362909"	738
